ProductID,BatchNumber,ProductionDate,Defective,Weight,Length
1,25,2024-01-09,0,462.45374363887805,17.613212046913663
2,45,2024-04-18,0,521.7667041961902,15.899233582990265
3,20,2024-04-11,0,498.36902973318945,14.177899108335216
4,31,2024-06-27,0,488.93876177863234,16.4985991100124
5,14,2023-10-27,0,524.4592952384168,15.422275538238395
6,8,2023-09-27,0,493.37382727940997,14.478697718606698
7,20,2023-12-19,0,511.99973486324683,13.96960325809237
8,36,2023-12-02,0,484.63233361404644,17.158433552784466
9,30,2024-05-15,0,483.27739746344025,17.954925573306138
10,21,2024-03-21,0,536.2116352116723,14.449782552419551
11,9,2023-07-21,0,484.2593452547463,14.12598457432628
12,11,2024-04-27,0,488.30458127165065,16.396339477479714
13,42,2023-12-27,0,465.83358416264633,13.729647202927593
14,35,2023-11-25,0,532.5996448801565,16.207353373914163
15,47,2023-07-25,0,507.95996646590197,18.473859211755475
16,12,2024-06-01,1,504.75559266905196,14.164331127810897
17,9,2024-02-14,0,519.5027682115725,15.049026464408799
18,22,2024-05-25,0,473.41326861331464,18.979386155030266
19,5,2023-10-17,0,489.1790643616066,14.25366337403472
20,48,2024-02-04,1,498.1712453750098,15.282073463097102
21,8,2024-02-26,0,469.0305789854308,13.116369051179987
22,22,2023-12-22,0,526.228542526999,13.594330807533472
23,23,2024-03-28,0,499.63141899613265,12.242326056238655
24,7,2024-03-22,0,493.53422727489,20.850499168141305
25,20,2023-10-30,0,504.7245097913657,16.14350398242113
26,44,2024-05-19,0,484.948354313264,14.90824890159326
27,7,2024-05-06,0,500.9022600762593,12.88587141705301
28,33,2024-03-07,0,568.5507709400499,11.350613873563733
29,38,2023-09-04,0,512.093640604916,15.483476576585076
30,23,2024-04-07,0,533.3662211926865,14.709696361769845
31,42,2024-06-28,0,492.8983375508816,16.003985327714936
32,22,2023-12-27,0,484.96862019738126,16.384657682163944
33,12,2024-03-27,0,506.1940717874332,17.02455008551415
34,44,2023-09-22,0,473.1659011315193,14.915645774566888
35,4,2023-12-13,0,453.86084469108414,16.244020929525384
36,33,2024-06-24,0,514.6318501004428,14.184927743596182
37,30,2024-04-22,0,512.8267628994446,13.297107202770551
38,22,2024-03-26,0,516.6770244350614,14.323633462499581
39,18,2023-08-30,0,500.56339746379996,16.537935480925178
40,6,2024-07-01,0,539.5674539975932,16.212995337058867
41,48,2023-11-17,0,498.2534362588477,14.974773715331652
42,28,2023-09-20,0,488.9207051841884,15.64485544574218
43,2,2023-12-05,0,439.8700256998535,18.215016685020142
44,34,2024-04-01,0,499.05668264693514,11.395179783007357
45,41,2024-06-12,0,516.6375557011936,12.489864207085597
46,44,2023-07-27,0,500.13722397078993,14.973932481178046
